target_text,search_text,body_type
14335,14335 Alexosipov,14335 Alexosipov,asteroid
345842,345842 Alexparker,345842 Alexparker,asteroid
28444,28444 Alexrabii,28444 Alexrabii,asteroid
23307,23307 Alexramek,23307 Alexramek,asteroid
11781,11781 Alexroberts,11781 Alexroberts,asteroid
30190,30190 Alexshelby,30190 Alexshelby,asteroid
24608,24608 Alexveselkov,24608 Alexveselkov,asteroid
22517,22517 Alexzanardi,22517 Alexzanardi,asteroid
18935,18935 Alfandmedina,18935 Alfandmedina,asteroid
1191,1191 Alfaterna,1191 Alfaterna,asteroid
230765,230765 Alfbester,230765 Alfbester,asteroid
3884,3884 Alferov,3884 Alferov,asteroid
15258,15258 Alfilipenko,15258 Alfilipenko,asteroid
22577,22577 Alfiuccio,22577 Alfiuccio,asteroid
233707,233707 Alfons,233707 Alfons,asteroid
1375,1375 Alfreda,1375 Alfreda,asteroid
11765,11765 Alfredfowler,11765 Alfredfowler,asteroid
24907,24907 Alfredhaar,24907 Alfredhaar,asteroid
11769,11769 Alfredjoy,11769 Alfredjoy,asteroid
189000,189000 Alfredkubin,189000 Alfredkubin,asteroid
128585,128585 Alfredmaria,128585 Alfredmaria,asteroid
13058,13058 Alfredstevens,13058 Alfredstevens,asteroid
12057,12057 Alfredsturm,12057 Alfredsturm,asteroid
1778,1778 Alfven,1778 Alfven,asteroid
1213,1213 Algeria,1213 Algeria,asteroid
26368,26368 Alghunaim,26368 Alghunaim,asteroid
202092,202092 Algirdas,202092 Algirdas,asteroid
1394,1394 Algoa,1394 Algoa,asteroid
929,929 Algunde,929 Algunde,asteroid
3851,3851 Alhambra,3851 Alhambra,asteroid
31926,31926 Alhamood,31926 Alhamood,asteroid
59239,59239 Alhazen,59239 Alhazen,asteroid
18812,18812 Aliadler,18812 Aliadler,asteroid
9426,9426 Aliante,9426 Aliante,asteroid
291,291 Alice,291 Alice,asteroid
